AssessmentYear,AssessmentCategory,RegionalUnitID,Percent_HydrologicallyConnected,DataSource,x_centroid,y_centroid
2019,Coastal Processes - Tributary Connectivity,LO01,22%,Ontario Integrated Hydro Network ,-79.11299117,43.20861506
2019,Coastal Processes - Tributary Connectivity,LO02,51%,Ontario Integrated Hydro Network ,-79.51466914,43.23794407
2019,Coastal Processes - Tributary Connectivity,LO03,81%,Ontario Integrated Hydro Network ,-79.833862,43.28889139
2019,Coastal Processes - Tributary Connectivity,LO04,39%,Ontario Integrated Hydro Network ,-79.62004862,43.46819269
2019,Coastal Processes - Tributary Connectivity,LO05,3%,Ontario Integrated Hydro Network ,-79.44992505,43.61875232
2019,Coastal Processes - Tributary Connectivity,LO06,6%,Ontario Integrated Hydro Network ,-79.37002257,43.62300758
2019,Coastal Processes - Tributary Connectivity,LO07,65%,Ontario Integrated Hydro Network ,-79.18923338,43.71600273
2019,Coastal Processes - Tributary Connectivity,LO08,47%,Ontario Integrated Hydro Network ,-78.86909005,43.83365957
2019,Coastal Processes - Tributary Connectivity,LO09,42%,Ontario Integrated Hydro Network ,-78.40947202,43.90448839
2019,Coastal Processes - Tributary Connectivity,LO10,81%,Ontario Integrated Hydro Network ,-77.93170488,43.96178761
2019,Coastal Processes - Tributary Connectivity,LO11,66%,Ontario Integrated Hydro Network ,-77.34628625,43.91069891
2019,Coastal Processes - Tributary Connectivity,LO12,9%,Ontario Integrated Hydro Network ,-77.1975045,44.11970435
2019,Coastal Processes - Tributary Connectivity,LO13,29%,Ontario Integrated Hydro Network ,-76.69619752,44.04176968
2019,Coastal Processes - Tributary Connectivity,LO14,13%,Ontario Integrated Hydro Network ,-76.16756947,44.29740361
2019,Coastal Processes - Tributary Connectivity,LO15,88%,Ontario Integrated Hydro Network ,-75.57744782,44.65450832
2019,Coastal Processes - Tributary Connectivity,LO16,95%,Ontario Integrated Hydro Network ,-74.99026258,44.97200259
2019,Coastal Processes - Tributary Connectivity,LO17,65%,Ontario Integrated Hydro Network ,-74.50898872,45.1012205
